,STATE/UT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,latitude,longitde
0,A & N ISLANDS,336,212,20,600,112,288,0,11.740087,92.65864
1,ANDHRA PRADESH,32150,34504,13844,126952,86964,280906,34,15.9240905,80.1863809
2,ARUNACHAL PRADESH,1316,1470,6,1996,48,476,0,28.0937702,94.5921326
3,ASSAM,40190,62074,3268,38256,254,115300,22,26.4073841,93.2551303
4,BIHAR,30758,57086,32206,16958,694,69770,904,25.6440845,85.906508
5,CHANDIGARH,770,1682,90,1088,342,2080,0,30.7334421,76.7797143
6,CHHATTISGARH,29308,11808,2758,47096,3968,23436,12,21.6637359,81.8406351
7,D & N HAVELI,132,224,2,106,12,90,0,20.276266,73.008308
8,DELHI,20312,46586,3758,30742,7928,42834,2,28.6517178,77.2219388
9,GOA,1062,640,38,1384,468,532,0,15.3503192,74.1017817
10,GUJARAT,11644,34670,1108,23186,3230,146468,0,22.3850051,71.745261
11,HARYANA,17110,20016,7372,17142,17866,68414,4,29,76
12,HIMACHAL PRADESH,4674,4116,112,9256,1220,7796,0,31.81676015,77.34932052
13,JAMMU & KASHMIR,7038,21164,294,28638,9168,5390,0,32.7185614,74.8580917
14,JHARKHAND,22826,14186,7896,9898,566,23910,298,23.6577621,85.16910512
15,KARNATAKA,15056,16262,7016,65750,2276,72706,94,14.5203896,75.7223521
16,KERALA,20030,4452,700,80438,7930,111626,0,10.3528744,76.5120396
17,LAKSHADWEEP,20,2,0,14,4,14,0,10.8132489,73.68046209
18,MADHYA PRADESH,90996,35608,21090,195478,20964,102816,134,23.8143419,77.5340719
19,MAHARASHTRA,48974,30368,9696,114704,32634,193202,6,18.9068356,75.6741579
20,MANIPUR,1068,2606,6,1322,6,578,0,24.7208818,93.9229386
21,MEGHALAYA,2642,670,36,1470,124,460,8,25.5379432,91.2999102
22,MIZORAM,2070,30,8,1988,70,134,6,23.2146169,92.8687612
23,NAGALAND,562,190,2,260,24,32,2,26.1630556,94.5884911
24,ODISHA,30480,25588,10782,80214,7488,49206,36,20.5431241,84.6897321
25,PUDUCHERRY,208,306,56,1314,600,234,0,11.9340568,79.8306447
26,PUNJAB,14656,15096,3524,12410,1728,30840,4,30.9293211,75.5004841
27,RAJASTHAN,45684,66278,11854,83362,794,262200,14,26.8105777,73.7684549
28,SIKKIM,570,180,4,586,34,108,0,27.601029,88.45413639
29,TAMIL NADU,16660,30908,5060,43404,21170,45524,30,10.9094334,78.3665347
30,TELANGANA,1958,1422,578,6376,2284,12738,0,17.8495919,79.1151663
31,TRIPURA,5060,2202,752,7344,114,16086,0,23.7750823,91.7025091
32,UTTAR PRADESH,51150,135906,57256,91212,53130,193738,6,27.1303344,80.859666
33,UTTARAKHAND,3752,6484,1974,4366,3190,9756,2,30.0417376,79.089691
34,WEST BENGAL,47876,61158,12308,66908,5348,344124,254,22.9964948,87.6855882
